% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:52"
% Table,Table 2 - Volume Average 1
% Time (s),Displacement magnitude (mm)
1.47,2.850224341576203
1.475,2.844613355362088
1.48,2.8112312628961376
1.4849999999999999,2.7451601889970583
1.49,2.64377931980015
1.4949999999999999,2.514984301809213
1.5,2.3657764936253014
1.505,2.2050098981962614
1.51,2.0424025064644606
1.515,1.8895973637346575
1.52,1.7544309602938135
1.525,1.642761175963097
1.53,1.5578142202857943
1.535,1.499728742026403
1.54,1.4675146472587182
1.545,1.45085394054488
1.55,1.4399611146680302
1.555,1.4242985779173933
1.56,1.3937338322129422
1.565,1.3371595089321107
1.5699999999999998,1.2513684935205942
1.575,1.137268403611814
1.58,0.9983994635386274
1.585,0.8412267485142879
1.5899999999999999,0.6745744404535073
1.595,0.5103609431005186
1.6,0.3583697940057289
1.605,0.23124970038367806
1.6099999999999999,0.13211924490094237
1.615,0.06454419434226279
1.6199999999999999,0.029632083376896757
1.625,0.01831703634960277
1.63,0.027973331266249707
1.635,0.049045541012317694
1.64,0.06975675438667443
1.645,0.0797056271166373
1.65,0.07036311537309439
1.655,0.03651339705494135
1.66,0.026942082882550348
1.665,0.11228740287337695
1.67,0.21488272843988174
1.675,0.323730228110748
1.68,0.42702903342710613
1.685,0.5137046192011986
1.69,0.5747159584645054
1.6949999999999998,0.6038932900768506
1.7,0.5950399680418695
1.705,0.5574744900738557
1.71,0.4926028095541
1.7149999999999999,0.407220493708698
1.72,0.31008359300085353
1.725,0.2121268767836509
1.73,0.12459822818616001
1.7349999999999999,0.05483446287081394
1.74,0.016725773845542653
1.745,0.01832336879337632
1.75,0.012462823439861107
1.755,0.010672815050511136
1.76,0.039184542055967976
1.7650000000000001,0.06526894296136661
1.77,0.07626250407609152
1.775,0.06281701812491694
1.7799999999999998,0.02682973626843773
1.785,0.06312746415003237
1.79,0.17308878075008008
1.795,0.3098145654034192
1.7999999999999998,0.4646394203149009
1.805,0.6274999229380935
1.81,0.7872579227958562
1.815,0.9339239593022081
1.8199999999999998,1.059509804649429
1.825,1.1588273823177015
1.83,1.23013225800717
1.835,1.2753551328858117
1.8399999999999999,1.2999466811944334
1.845,1.3123446199126234
1.85,1.3237595588775544
1.855,1.3421758923120144
1.8599999999999999,1.3667697629849331
1.865,1.3947669712033826
1.87,1.423118252619984
1.875,1.4493917844190298
1.88,1.4700844383218405
1.885,1.481934549011324
1.8900000000000001,1.4826566863422934
1.895,1.4717133356312475
1.9,1.4505707138477395
1.9000000000000001,1.4505707138477384
1.925,1.3211057883803257
1.9500000000000002,1.3921012207189796
1.975,1.4810404151459728
2,1.3647362743555973
2.0250000000000004,1.3373324801815358
2.0500000000000003,1.469625100184782
2.075,1.4246262077715615
2.1,1.3162226913343866
2.125,1.4209774654118288
2.1500000000000004,1.4711598405476332
2.1750000000000003,1.341116991455199
2.2,1.3587495369023765
