% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:51"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),Displacement magnitude (mm),von Mises stress (N/m^2)
1.55,2.5010565282517634,2.5010565282517634,22011.795411352512
1.555,2.476730947498582,2.476730947498582,21654.96133304846
1.56,2.424127753728597,2.424127753728597,21101.05356176466
1.565,2.3282431113480135,2.3282431113480135,20110.421892967755
1.5699999999999998,2.1844160563005954,2.1844160563005954,18676.124906557474
1.575,1.9937358942752383,1.9937358942752383,16911.967599782023
1.58,1.760175861949155,1.760175861949155,14912.584411196754
1.585,1.4895860819531106,1.4895860819531106,12729.023679410995
1.5899999999999999,1.1891485561471011,1.1891485561471011,10423.900575617996
1.595,0.8772343511500629,0.8772343511500629,8148.570183710612
1.6,0.5774440249438144,0.5774440249438144,6050.114727695901
1.605,0.3444080986422964,0.3444080986422964,4268.711992016588
1.6099999999999999,0.20663636075416356,0.20663636075416356,2789.3377854772584
1.615,0.12998233672638512,0.12998233672638512,1659.7738014411316
1.6199999999999999,0.08206904787646012,0.08206904787646012,949.6140740280466
1.625,0.04594171618896013,0.04594171618896013,620.6255605597264
1.63,0.05637028737570925,0.05637028737570925,596.8540652101033
1.635,0.1096517847385885,0.1096517847385885,717.4976497771323
1.64,0.15564090376887024,0.15564090376887024,819.7932656973177
1.645,0.1794152566761695,0.1794152566761695,838.0548574434629
1.65,0.16259969465319926,0.16259969465319926,610.5893353770562
1.655,0.09236472159782663,0.09236472159782663,274.59053168538895
1.66,0.04574838960638721,0.04574838960638721,916.2788165827964
1.665,0.18332970807518884,0.18332970807518884,2141.768310459112
1.67,0.35726107492319026,0.35726107492319026,3532.1145883786494
1.675,0.5418490532849255,0.5418490532849255,4954.207071931628
1.68,0.7287993137996522,0.7287993137996522,6287.416042677146
1.685,0.9012853121518808,0.9012853121518808,7398.552018277528
1.69,1.0357189523614192,1.0357189523614192,8160.2951607005825
1.6949999999999998,1.1107444677482887,1.1107444677482887,8507.074911827
