case_id,time_s,avg_displacement_mm,avg_vm_kpa
stage5_no_skin_125g,1.275,3.427094,0.366901
stage5_no_skin_125g,1.28,3.591017,0.383419
stage5_no_skin_125g,1.285,3.79496,0.405048
stage5_no_skin_125g,1.29,4.037314,0.43171
stage5_no_skin_125g,1.295,4.314452,0.462905
stage5_no_skin_125g,1.3,4.620874,0.497765
stage5_no_skin_125g,1.305,4.949423,0.535168
stage5_no_skin_125g,1.31,5.291528,0.573875
stage5_no_skin_125g,1.315,5.637424,0.612662
stage5_no_skin_125g,1.32,5.973538,0.6501
stage5_no_skin_125g,1.325,6.289011,0.685289
stage5_no_skin_125g,1.33,6.576132,0.71756
stage5_no_skin_125g,1.335,6.825906,0.745999
stage5_no_skin_125g,1.34,7.030017,0.769618
stage5_no_skin_125g,1.345,7.184548,0.787725
stage5_no_skin_125g,1.35,7.286255,0.799578
stage5_no_skin_125g,1.355,7.334998,0.804798
stage5_no_skin_125g,1.36,7.336728,0.803942
stage5_no_skin_125g,1.365,7.29531,0.797509
stage5_no_skin_125g,1.37,7.218635,0.78669
stage5_no_skin_125g,1.375,7.113921,0.772686
stage5_no_skin_125g,1.38,6.988678,0.756786
stage5_no_skin_125g,1.385,6.852708,0.740465
stage5_no_skin_125g,1.39,6.71684,0.724955
stage5_no_skin_125g,1.395,6.590071,0.711077
stage5_no_skin_125g,1.4,6.480847,0.699422
stage5_no_skin_125g,1.405,6.399161,0.690725
stage5_no_skin_125g,1.41,6.350281,0.685377
stage5_no_skin_125g,1.415,6.33492,0.683536
stage5_no_skin_125g,1.42,6.352633,0.685379
stage5_no_skin_125g,1.425,6.40038,0.690853
stage5_no_skin_125g,1.43,6.475018,0.699903
stage5_no_skin_125g,1.435,6.565627,0.711298
stage5_no_skin_125g,1.44,6.662715,0.723777
stage5_no_skin_125g,1.445,6.756578,0.735937
stage5_no_skin_125g,1.45,6.8369,0.746285
stage5_no_skin_125g,1.455,6.889405,0.752922
stage5_no_skin_125g,1.46,6.907234,0.755138
stage5_no_skin_125g,1.465,6.882662,0.752235
stage5_no_skin_125g,1.47,6.80971,0.743839
stage5_no_skin_125g,1.475,6.682046,0.729598
stage5_no_skin_125g,1.48,6.495857,0.709358
stage5_no_skin_125g,1.485,6.259119,0.683934
stage5_no_skin_125g,1.49,5.977279,0.653675
stage5_no_skin_125g,1.495,5.658099,0.619067
stage5_no_skin_125g,1.5,5.309511,0.580582
stage5_no_skin_125g,1.505,4.944203,0.53946
stage5_no_skin_125g,1.51,4.574493,0.497217
stage5_no_skin_125g,1.515,4.21066,0.4553
stage5_no_skin_125g,1.52,3.862181,0.415175
stage5_no_skin_125g,1.525,3.540987,0.378645
stage5_no_skin_125g,1.53,3.252522,0.346535
stage5_no_skin_125g,1.535,3.000687,0.319254
stage5_no_skin_125g,1.54,2.788068,0.29687
stage5_no_skin_125g,1.545,2.6153,0.279086
stage5_no_skin_125g,1.55,2.485377,0.26583
stage5_no_skin_125g,1.555,2.388625,0.255916
stage5_no_skin_125g,1.56,2.31945,0.24886
stage5_no_skin_125g,1.565,2.270953,0.244207
stage5_no_skin_125g,1.57,2.235326,0.24142
stage5_no_skin_125g,1.575,2.202781,0.239577
stage5_no_skin_125g,1.58,2.163659,0.237434
