% Model,STAGE5~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 5 2026, 09:44"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (m),von Mises stress (N/m^2)
1.415,0.009751059612983688,68453.05889647812
1.42,0.010003013041577073,69325.29793296763
1.425,0.010261877791806645,70245.97013154332
1.43,0.010504467220221336,71116.8637751968
1.435,0.010706347726048159,71823.12166139492
1.44,0.010842465957097636,72263.94831938163
1.4449999999999998,0.010897358953730727,72381.94539761171
1.45,0.010859632207986254,72107.21521190865
1.455,0.01071655015809733,71295.54983624106
1.46,0.010482281115230562,69918.46578080213
1.4649999999999999,0.010164999895594594,67988.92617388685
1.47,0.009771749385277032,65550.39716959307
1.475,0.009305845215831183,62676.76433111383
1.48,0.008796876688768562,59629.17098714158
1.4849999999999999,0.008261685014813603,56564.79471450264
1.49,0.007718894534434532,53592.89578919298
1.4949999999999999,0.007190801412632231,50767.68830511197
1.5,0.006695315019215502,48085.41384499364
1.505,0.006247817693146417,45578.30177831974
1.51,0.005864932319048161,43323.65657507176
1.515,0.005552381862307424,41356.16702054956
1.52,0.005305898125636685,39641.91773661457
1.525,0.005123505029171082,38144.766052181825
1.53,0.005008518527993584,36867.20095853524
1.535,0.004946555304911894,35791.12966173047
1.54,0.004924545360202422,34898.07700046166
1.545,0.004927462455435822,34129.17700130522
1.55,0.004934054682725154,33363.33231287379
1.555,0.004921516794288686,32466.721671115047
1.56,0.004871352177324612,31350.64898533864
1.565,0.004762470246210803,29957.040684929885
1.5699999999999998,0.004572444937363123,28252.568437157246
1.575,0.004297055920478698,26240.628029688385
1.58,0.003931412110582103,23890.289617071605
1.585,0.0034675912080247857,21168.587564967056
1.5899999999999999,0.0029185622735734317,18146.70243124007
1.595,0.002306360855142334,14929.239974986525
1.6,0.0016564042616576578,11610.423807636842
1.605,0.0010092186659350635,8305.9280952817
1.6099999999999999,5.72831745538701E-4,5121.197317695568
1.615,2.983710564574054E-4,2183.9881856669463
1.6199999999999999,6.003379984705276E-4,887.0672791801791
1.625,9.249856585394126E-4,2506.761330905506
1.63,0.0011349996033421035,4109.435867668197
1.635,0.0012397526115781165,5205.189101640105
1.64,0.0012543271193418246,5832.854524099299
1.645,0.0011942936666688273,6056.4333712797325
1.65,0.0010760658984342072,5946.053506521722
1.655,9.196872921315379E-4,5562.883018007609
1.66,7.407349060215311E-4,4980.542427011491
1.665,5.88111521385668E-4,4306.827264071883
1.67,5.192971398541084E-4,3664.580345420759
1.675,4.6575997104825623E-4,3187.9024949663126
1.68,4.0774997263798367E-4,3017.317628646178
1.685,3.5546875904675775E-4,3245.0653642346897
1.69,3.3802682283214124E-4,3852.1288776151014
1.6949999999999998,3.793463865523432E-4,4708.116962285376
1.7,5.060995837150745E-4,5657.904710020795
1.705,7.321947650655226E-4,6605.174532953689
1.71,0.0010123327544090362,7508.329024446876
1.7149999999999999,0.0013037600078193332,8327.286703836944
1.72,0.001571724529806306,9038.71026611364
1.725,0.001786057362932775,9619.670093051622
1.73,0.0019313221081697087,10044.289332004671
1.7349999999999999,0.001998186679856404,10267.840589949828
1.74,0.0019790990033533577,10212.578525742936
1.745,0.0018707921213550816,9771.722513376226
1.75,0.0016740349935452188,8830.407938099435
1.755,0.001391523841819214,7338.317840013251
1.76,0.0010299517577785143,5342.988220490466
1.7650000000000001,6.041598658765297E-4,2939.682174887092
1.77,1.4876911113247755E-4,381.6168727122186
1.775,4.3697104517982286E-4,2859.33283935409
1.7799999999999998,8.968508657631474E-4,5968.749453886431
1.785,0.0013919495631751946,9037.734437289979
1.79,0.0018710337132651304,11910.554504002588
1.795,0.002319741576484633,14495.649865479067
1.7999999999999998,0.0027238165673269853,16730.65507974478
1.805,0.003066787349848659,18584.522926867907
1.81,0.0033358040831136583,20073.895063486398
1.815,0.003521626227651483,21246.46208920046
1.8199999999999998,0.00361969995207002,22151.562549285118
1.825,0.0036340826027000763,22849.194164640656
1.83,0.003581557770350533,23441.812456114778
1.835,0.0034923736212659788,24074.05042679061
1.8399999999999999,0.003408957785660867,24876.705453086084
1.845,0.003373769030102878,25916.96257582762
1.85,0.0034438778311380426,27218.254821166727
1.855,0.0036059516462672216,28672.71755226362
1.8599999999999999,0.003840836663275563,30056.594802491487
1.865,0.004160853380141974,31344.5423876718
1.87,0.004521435331236972,32548.480511200203
1.875,0.004888227957633993,33684.14610787432
1.88,0.005233376419341694,34748.560712457016
1.885,0.005529533821149697,35662.815458462144
1.8900000000000001,0.005753006758794918,36313.85797035095
1.895,0.005887898153936949,36615.40343714679
1.9,0.0059262160405246095,36542.110602454755
1.9000000000000001,0.005926216040524608,36542.11060245474
1.925,0.004657133379076775,31736.252860504686
1.9500000000000002,0.0033427206103049853,26955.149711190796
1.975,0.0041835344006732975,28710.901881421025
2,0.005550154826683411,35767.91856404822
2.0250000000000004,0.005295275094629805,36117.64675514554
2.0500000000000003,0.004183478297675829,28417.86933036975
2.075,0.003448971757639306,27153.722139660127
2.1,0.004410153873774784,31573.597701100323
2.125,0.0058240048720794215,36425.57002396547
2.1500000000000004,0.005189657910664629,34014.942190828
2.1750000000000003,0.0034100487848776843,27287.099235305443
2.2,0.003709766759694598,27346.377831214228
