% Model,STAGE5~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 5 2026, 09:44"
% Table,Table 1 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2),Displacement magnitude (mm),von Mises stress (N/m^2)
1.1,2.465457048962028,749.3401436894202,2.465457048962028,749.3401436894202
1.125,2.567531635085003,781.7436407080011,2.567531635085003,781.7436407080011
1.1500000000000001,2.616565069212973,796.7669678248644,2.616565069212973,796.7669678248644
1.175,2.5373187555636427,772.147607987964,2.5373187555636427,772.147607987964
1.2000000000000002,2.450734637897166,744.7094514678666,2.450734637897166,744.7094514678665
1.2,2.450734637897166,744.7094514678671,2.4507346378971664,744.7094514678673
1.2049999999999998,2.448432310127101,743.9600921512296,2.448432310127101,743.9600921512296
1.21,2.450176725976319,744.5046282147025,2.450176725976319,744.5046282147025
1.2149999999999999,2.4575969550421624,746.863736831865,2.4575969550421624,746.863736831865
1.22,2.471612238394417,751.3212590823939,2.471612238394417,751.3212590823939
1.2249999999999999,2.488302229249025,756.6260543498456,2.488302229249025,756.6260543498456
1.23,2.5098873803511483,763.4643261274467,2.5098873803511483,763.4643261274467
1.2349999999999999,2.5322887151971316,770.5377277720064,2.5322887151971316,770.5377277720064
1.24,2.555519327731224,777.8500292620034,2.555519327731224,777.8500292620034
1.2449999999999999,2.5763176719949925,784.3549710443189,2.5763176719949925,784.3549710443189
1.25,2.5967982709612865,790.7052887239186,2.5967982709612865,790.7052887239186
1.255,2.6176164164366043,796.9880233745145,2.6176164164366043,796.9880233745145
1.26,2.6485842998906506,806.0773539543079,2.6485842998906506,806.0773539543079
1.265,2.6905159900934774,818.2361758857631,2.6905159900934774,818.2361758857631
1.27,2.7622506462570917,838.947325748318,2.7622506462570917,838.947325748318
1.275,2.8702366339682706,870.3481769470632,2.8702366339682706,870.3481769470632
1.28,3.012787795505635,912.2449350848037,3.012787795505635,912.2449350848037
1.285,3.189711035286381,964.8725397506115,3.189711035286381,964.8725397506115
1.29,3.399040235326692,1027.894604772642,3.399040235326692,1027.894604772642
1.295,3.637123914653331,1100.3939683174883,3.637123914653331,1100.3939683174883
1.3,3.9004217706581006,1181.4811430126913,3.9004217706581006,1181.4811430126913
1.305,4.177614726834981,1267.6063246366532,4.177614726834981,1267.6063246366532
1.31,4.457548076074483,1355.0821750493726,4.457548076074483,1355.0821750493726
1.315,4.731547538885095,1441.0247417388084,4.731547538885095,1441.0247417388084
1.3199999999999998,4.991638132788124,1522.7436503110525,4.991638132788124,1522.7436503110525
1.325,5.226777393933762,1596.5254854450254,5.226777393933762,1596.5254854450254
1.33,5.429476762346283,1659.7576224903498,5.429476762346283,1659.7576224903498
1.335,5.593565058381188,1710.3219529041733,5.593565058381188,1710.3219529041733
1.3399999999999999,5.712296665121937,1746.060974913742,5.712296665121937,1746.060974913742
1.345,5.786547157853719,1767.4827638204238,5.786547157853719,1767.4827638204238
1.3499999999999999,5.817787535578937,1775.352560056492,5.817787535578937,1775.352560056492
1.355,5.809956309272809,1771.1782474230874,5.809956309272809,1771.1782474230874
1.3599999999999999,5.769304159493989,1757.0821257863781,5.769304159493989,1757.0821257863781
1.365,5.702954301198907,1735.3907124414293,5.702954301198907,1735.3907124414293
1.3699999999999999,5.6205666832834735,1709.1488589635983,5.6205666832834735,1709.1488589635983
1.375,5.531654700618911,1681.2649581374224,5.531654700618911,1681.2649581374224
1.38,5.446131258853953,1654.6626589009256,5.446131258853953,1654.6626589009256
1.385,5.373308456060654,1631.979588228869,5.373308456060654,1631.979588228869
1.39,5.319550031768777,1615.0895975544313,5.319550031768777,1615.0895975544313
1.395,5.289808890412269,1605.583828251773,5.289808890412269,1605.583828251773
1.4,5.291619048536845,1605.9283243802292,5.291619048536845,1605.9283243802292
1.405,5.321282179760314,1615.0656991782505,5.321282179760314,1615.0656991782505
1.41,5.376313123388701,1632.2921667648352,5.376313123388701,1632.2921667648352
1.415,5.45303335709891,1656.521999205115,5.45303335709891,1656.521999205115
1.42,5.545702382501426,1685.969868039983,5.545702382501426,1685.969868039983
1.425,5.643778293057628,1717.2631130408217,5.643778293057628,1717.2631130408217
1.43,5.738656745754466,1747.680133067656,5.738656745754466,1747.680133067656
1.435,5.81958911469617,1773.8252340713627,5.81958911469617,1773.8252340713627
1.44,5.8756649399599175,1792.2150150572156,5.8756649399599175,1792.2150150572156
1.4449999999999998,5.9003917263401044,1800.748955403325,5.9003917263401044,1800.748955403325
1.45,5.887263761787204,1797.3435180912666,5.887263761787204,1797.3435180912666
1.455,5.825686552101611,1778.672242709117,5.825686552101611,1778.672242709117
1.46,5.716551693736536,1745.0855730620672,5.716551693736536,1745.0855730620672
1.4649999999999999,5.562474474764005,1697.4690639947098,5.562474474764005,1697.4690639947098
1.47,5.3665647353533386,1636.8476198047085,5.3665647353533386,1636.8476198047085
1.475,5.129418994982724,1563.4933449643167,5.129418994982724,1563.4933449643167
1.48,4.86656333471636,1482.2965029151978,4.86656333471636,1482.2965029151978
1.4849999999999999,4.5878036038752406,1396.332856491411,4.5878036038752406,1396.332856491411
1.49,4.303903419146897,1308.9103886903288,4.303903419146897,1308.9103886903288
1.4949999999999999,4.027632976788571,1223.8666704147843,4.027632976788571,1223.8666704147843
1.5,3.768642713936147,1144.0682908911567,3.768642713936147,1144.0682908911567
1.505,3.534715745756451,1071.8858603957483,3.534715745756451,1071.8858603957483
1.51,3.334860898068656,1010.1639284371099,3.334860898068656,1010.1639284371099
1.515,3.1723081226986722,960.0427502092186,3.1723081226986722,960.0427502092186
1.52,3.0444884286095464,920.832501209191,3.0444884286095464,920.832501209191
1.525,2.9490824877452284,891.8956601306863,2.9490824877452284,891.8956601306863
1.53,2.884761505753239,872.9864733559832,2.884761505753239,872.9864733559832
1.535,2.841175179416515,860.9893978383183,2.841175179416515,860.9893978383183
1.54,2.8096447481975084,853.2037677183401,2.8096447481975084,853.2037677183401
1.545,2.781656214154341,846.8381841215917,2.781656214154341,846.8381841215917
1.55,2.7463019319788935,838.223673459101,2.7463019319788935,838.223673459101
1.555,2.6953172504967418,824.5382947705663,2.6953172504967418,824.5382947705663
1.56,2.6215723403471096,803.4416174126337,2.6215723403471096,803.4416174126337
1.565,2.517374756749041,772.4784120555462,2.517374756749041,772.4784120555462
1.5699999999999998,2.376460831605703,729.6835550239674,2.376460831605703,729.6835550239674
1.575,2.201069404004026,675.8187812387118,2.201069404004026,675.8187812387118
1.58,1.9921161682699329,611.2133734389176,1.9921161682699329,611.2133734389176
1.585,1.7499712122292839,536.0399205107941,1.7499712122292839,536.0399205107941
1.5899999999999999,1.4822499079180917,452.78469256348745,1.4822499079180917,452.78469256348745
1.595,1.1983973258978962,364.5263491766538,1.1983973258978962,364.5263491766538
1.6,0.907072237128802,274.1380352277162,0.907072237128802,274.1380352277162
1.605,0.6193223537488433,185.33919794705014,0.6193223537488433,185.33919794705014
1.6099999999999999,0.34557424662824787,102.09208620511028,0.34557424662824787,102.09208620511028
1.615,0.11390147431615487,34.388280243709026,0.11390147431615487,34.388280243709026
1.6199999999999999,0.1611549880570852,47.99603358292588,0.1611549880570852,47.99603358292588
1.625,0.31584117974618403,99.60973808298185,0.31584117974618403,99.60973808298185
1.63,0.44313685127819363,139.06836897641216,0.44313685127819363,139.06836897641216
1.635,0.5289136345137546,165.17649970574305,0.5289136345137546,165.17649970574305
1.64,0.5721220113677694,178.2425751837483,0.5721220113677694,178.2425751837483
1.645,0.576467179030619,179.4373911729591,0.576467179030619,179.4373911729591
1.65,0.5483477127951778,170.63124789182177,0.5483477127951778,170.63124789182177
1.655,0.49590935125686797,154.22606811959952,0.49590935125686797,154.22606811959952
1.66,0.42835844772801684,132.93500160502097,0.42835844772801684,132.93500160502097
1.665,0.355309750445963,109.6418458067518,0.355309750445963,109.6418458067518
1.67,0.28614239812908454,87.43425114211472,0.28614239812908454,87.43425114211472
1.675,0.22949296651135878,69.18561452678902,0.22949296651135878,69.18561452678902
1.68,0.193173040675009,57.662576095071685,0.193173040675009,57.662576095071685
1.685,0.18395571262536847,55.84839805788562,0.18395571262536847,55.84839805788562
1.69,0.20484977938419602,61.825494938533666,0.20484977938419602,61.825494938533666
1.6949999999999998,0.25533322936546293,74.86319092000969,0.25533322936546293,74.86319092000969
1.7,0.33289498978585125,97.12491650470332,0.33289498978585125,97.12491650470332
1.705,0.4323791588518241,128.009903232496,0.4323791588518241,128.009903232496
1.71,0.5463893099609636,164.53279820167523,0.5463893099609636,164.53279820167523
1.7149999999999999,0.6658435289155151,203.29287098051853,0.6658435289155151,203.29287098051853
1.72,0.7805267202111302,240.74574416637958,0.7805267202111302,240.74574416637958
1.725,0.8797531864464168,273.21593533684097,0.8797531864464168,273.21593533684097
1.73,0.9531489761506861,297.178067218909,0.9531489761506861,297.178067218909
1.7349999999999999,0.9914796666115396,309.5990507666093,0.9914796666115396,309.5990507666093
1.74,0.9874471232217281,308.2430822790388,0.9874471232217281,308.2430822790388
1.745,0.936374649728854,291.8549302582987,0.936374649728854,291.8549302582987
1.75,0.8366757773466045,260.20148212168385,0.8366757773466045,260.20148212168385
1.755,0.6900118341633605,214.03504367670243,0.6900118341633605,214.03504367670243
1.76,0.5007616423239025,154.91417122757605,0.5007616423239025,154.91417122757605
1.7650000000000001,0.2772373838010359,85.54934424605763,0.2772373838010359,85.54934424605763
1.77,0.052690945529468826,13.898311237854653,0.052690945529468826,13.898311237854653
1.775,0.245529452413646,75.61422851743129,0.245529452413646,75.61422851743129
1.7799999999999998,0.514035288322494,157.5803733066905,0.514035288322494,157.5803733066905
1.785,0.7762005471215087,237.7272931442638,0.7762005471215087,237.7272931442638
1.79,1.020844533731231,312.6546835316805,1.020844533731231,312.6546835316805
1.795,1.2392397033586209,379.77239694631703,1.2392397033586209,379.77239694631703
1.7999999999999998,1.4253169567407353,437.1972303398349,1.4253169567407353,437.1972303398349
1.805,1.576024288211542,483.8545128499612,1.576024288211542,483.8545128499612
1.81,1.6914079038305647,519.5278171167862,1.6914079038305647,519.5278171167862
1.815,1.7744361320679876,544.8850995399049,1.7744361320679876,544.8850995399049
1.8199999999999998,1.830658245297431,561.4793980901544,1.830658245297431,561.4793980901544
1.825,1.8677196625703767,571.6367424193302,1.8677196625703767,571.6367424193302
1.83,1.8946994444147878,578.2316009246156,1.8946994444147878,578.2316009246156
1.835,1.9214689608783029,584.4589955371085,1.9214689608783029,584.4589955371085
1.8399999999999999,1.9578803622606868,593.5691067191146,1.9578803622606868,593.5691067191146
1.845,2.012793091831248,608.5249448073247,2.012793091831248,608.5249448073247
1.85,2.0937141817893763,631.8373445633619,2.0937141817893763,631.8373445633619
1.855,2.2032518720966463,664.4897768850115,2.2032518720966463,664.4897768850115
1.8599999999999999,2.333675254273299,704.3583107048448,2.333675254273299,704.3583107048448
1.865,2.4744617354984704,748.3523484073409,2.4744617354984704,748.3523484073409
1.87,2.615646141892166,793.3869124416874,2.615646141892166,793.3869124416874
1.875,2.7480144184930495,836.3100179931846,2.7480144184930495,836.3100179931846
1.88,2.8632210572875465,874.1541028827852,2.8632210572875465,874.1541028827852
1.885,2.954066894125655,904.3246430781771,2.954066894125655,904.3246430781771
1.8900000000000001,3.0148974214564253,924.755928095223,3.0148974214564253,924.755928095223
1.895,3.041980420277946,934.0503540328323,3.041980420277946,934.0503540328323
1.9,3.0337739606717196,931.6342441733902,3.0337739606717196,931.6342441733902
1.9000000000000001,3.033773960671719,931.6342441733889,3.033773960671719,931.6342441733889
1.925,2.5649385881114735,778.8978870771512,2.5649385881114735,778.8978870771512
1.9500000000000002,2.0415903787600955,616.9693943274887,2.0415903787600955,616.9693943274887
1.975,2.2671084488767415,687.8119252548819,2.2671084488767415,687.8119252548819
2,2.9376033672340767,898.5721891466081,2.9376033672340767,898.5721891466081
2.0250000000000004,2.976054190341975,908.4007550756579,2.976054190341975,908.4007550756579
2.0500000000000003,2.282438482683764,693.3125395872655,2.282438482683764,693.3125395872655
2.075,2.0057535300039597,605.5994974474639,2.0057535300039597,605.5994974474639
2.1,2.574480203381042,780.8777459653016,2.574480203381042,780.8777459653016
2.125,3.042521153533859,934.9183995498731,3.042521153533859,934.9183995498731
2.1500000000000004,2.7300957571823905,830.8225461031724,2.7300957571823905,830.8225461031724
2.1750000000000003,2.117928893565396,639.5002374488212,2.117928893565396,639.5002374488212
2.2,2.134249510542655,648.4294101843458,2.134249510542655,648.4294101843458
